bgg_id,name,year,kennerspiel_score
555,The Princes of Florence,2000,1.0
904,Nightmare Productions,2000,0.9999999492313895
760,Battle Line,2000,0.00160679498549251
903,Hamsterrolle,2000,2.6027742036062813e-17
2655,Hive,2000,0.029308698836145057
492,Aladdin's Dragons,2000,0.9999999999999878
5222,Old Town,2000,1.413805913393965e-07
4209,Monza,2000,5.059845609910708e-25
855,Java,2000,1.0
562,Silberzwerg,2000,0.8325301888509685
24658,Avanti mare!,2000,1.633719935487345e-31
531,Merchants of Amsterdam,2000,0.9999992863211198
869,Bongo!,2000,7.467585463412276e-12
2734,Hossa!,2000,2.666589682257043e-25
916,Pete the Pirate,2000,5.837658492048898e-22
872,M,2000,3.7816318243425267e-06
883,Ivanhoe,2000,0.0002269934646338118
17995,Anno Domini: Sport,2000,2.7994676104499134e-12
854,Doge,2000,0.999991216072613
941,Turbo Taxi,2000,4.208179286207526e-11
2857,Jungle Jam,2000,5.950515753712972e-21
827,Attila,2000,0.9999997585138315
2443,MotorChamp,2000,0.00010982036336670889
2266,Gobblet,2000,7.068333414987006e-09
9149,Zitternix,2000,6.675681868031527e-22
25821,The Werewolves of Miller's Hollow,2001,4.772481858892462e-07
1261,Medina,2001,0.9999999943633122
6830,Zendo,2001,0.9999972240643342
1806,The Piggyback Brigade,2001,7.1441228630401435e-22
18056,Anno Domini: Kunst,2001,3.863041605088445e-09
17923,Anno Domini: Flopps,2001,2.6343724102631823e-05
1159,Evo,2001,1.0
20295,WeyKick,2001,5.546139210168659e-22
1205,Luxor,2001,8.12536900621068e-16
2476,Industrial Waste,2001,0.6907205868379303
2338,Starship Catan,2001,1.0
1334,Entdecker: Exploring New Horizons,2001,0.9999999998514482
2555,Vom Kap bis Kairo,2001,0.9358153578559949
63539,Lupus in Tabula,2001,1.6305806473552043e-09
2543,Pompeji,2001,1.1857584024663546e-12
1545,Flowerpower,2001,1.6641986447989661e-09
3507,By Golly!,2001,2.8185091140015816e-10
72644,Perplexus,2001,0.9108932477619067
1245,Isis & Osiris,2001,1.993076546522799e-21
