bgg_id,name,rank_h_index,h_index,rank_g_index,g_index
83195,Ghost Blitz,643,40,840,56
128621,Viticulture,643,40,840,56
194880,Dream Home,643,40,867,55
220517,The Shipwreck Arcana,643,40,867,55
27588,Zooloretto,643,40,902,54
172931,Outfoxed!,643,40,970,52
221107,Pandemic Legacy: Season 2,643,40,1012,51
262211,Cloudspire,643,40,1012,51
253344,Cthulhu: Death May Die,643,40,1074,49
10816,Blackjack,681,39,52,223
157026,Ascension: Realms Unraveled,681,39,73,186
2633,DOG,681,39,337,90
1540,BattleTech,681,39,480,76
54,Tikal,681,39,491,75
284229,Butterfly,681,39,491,75
67254,Warmachine Prime Mk II,681,39,508,74
163745,Star Wars: Armada,681,39,567,70
47082,"Win, Lose, or Banana",681,39,585,69
158275,Marvel Dice Masters: Uncanny X-Men,681,39,628,66
193558,The Oracle of Delphi,681,39,641,65
143404,Castellion,681,39,699,62
276025,Maracaibo,681,39,699,62
307305,Bullet♥︎,681,39,717,61
94362,Rune Age,681,39,740,60
