rank_h_index,h_index,rank_g_index,g_index,bgg_user_name
546,36,970,61,uglywithglasses
546,36,1034,60,count von luckner
546,36,1034,60,darkbanan
546,36,1034,60,supergls
546,36,1034,60,visard
546,36,1109,59,aleksi_ahtiainen
546,36,1109,59,da pyrate
546,36,1202,58,ef__
546,36,1202,58,ronster0
546,36,1202,58,sardonic wolf
546,36,1276,57,hc productions
546,36,1276,57,kazoober
546,36,1276,57,mikeg99
546,36,1276,57,moramis
546,36,1362,56,gomer
546,36,1362,56,nyteglori
546,36,1362,56,rabidrabbit
546,36,1362,56,snailslung
546,36,1459,55,joshdl
546,36,1568,54,balrogest
546,36,1568,54,davebo
546,36,1568,54,gremlinmaster
546,36,1568,54,hairry
546,36,1568,54,herendil66
546,36,1568,54,rkircher
546,36,1568,54,zennla
546,36,1674,53,pandah2o
546,36,1674,53,purplewurple
546,36,1792,52,brother abe
546,36,1792,52,lucaleoncavallo
546,36,1792,52,nieva
546,36,1792,52,pgusia
546,36,1792,52,pipo777
546,36,1792,52,zombone
546,36,1906,51,me_be_spartacus
546,36,1906,51,sbrillant
546,36,2053,50,apecage
546,36,2053,50,rsj77
546,36,2204,49,halbower
546,36,2351,48,imbram
546,36,2351,48,nilorac
546,36,2555,47,gubirobi
546,36,2555,47,igiullari
546,36,2555,47,kristopherjwolff
546,36,2969,45,yairdoza
546,36,3815,42,mitspieler
628,35,14,193,turtler7
628,35,24,164,whsvin
628,35,40,136,jarmoaulu
628,35,85,109,kubigaruma
628,35,127,100,hockeyking9
628,35,155,95,zombiegod
628,35,216,88,milhouse46
628,35,298,81,charliewonka
628,35,326,79,katchoo
628,35,326,79,sunfall
628,35,340,78,tribefan07
628,35,361,77,xaldin
628,35,438,74,pmagnus
628,35,438,74,red eye
628,35,493,72,gameteacher
628,35,493,72,latindog
628,35,493,72,viktula
628,35,522,71,dannabben
628,35,522,71,kragonn
628,35,522,71,mundane
628,35,522,71,shaftbigscore2002
628,35,522,71,wolfgang dostmann
628,35,589,69,artax
628,35,589,69,elroyguess
628,35,589,69,monkeyboy157
628,35,589,69,mugs
628,35,623,68,tmcgrady
628,35,652,67,dekerstman
628,35,652,67,kamekkusu
628,35,652,67,kerpow
628,35,652,67,lemem
628,35,652,67,marioymia
628,35,696,66,horusz
628,35,696,66,kbx12
628,35,696,66,sigtaulefty
628,35,741,65,fruiko
628,35,741,65,l-hansen
628,35,741,65,lankelote
628,35,741,65,lordnoumenon
628,35,741,65,xssassin
628,35,787,64,nezade
628,35,843,63,bixby
628,35,843,63,bresandor
628,35,843,63,eluvitar
628,35,843,63,happyjosiah
628,35,843,63,partino
628,35,843,63,princeofparsnips
628,35,843,63,zefquaavius
628,35,914,62,arah
628,35,914,62,birdbolter
628,35,914,62,corylovec14
628,35,914,62,csibu
628,35,914,62,nickster1970
628,35,914,62,stonecutter13
628,35,970,61,kingofthegrill
628,35,970,61,molmo
628,35,970,61,rygel
628,35,970,61,w eric martin
628,35,1034,60,bigdaddy88
628,35,1034,60,jer29thirteen
628,35,1034,60,maltmanj
628,35,1034,60,normandywept
628,35,1109,59,abhaan
628,35,1109,59,boardgamejeff
628,35,1109,59,k____
628,35,1109,59,kika80_litwa
628,35,1109,59,ludom
628,35,1109,59,madrusch
628,35,1109,59,seriensieger
628,35,1202,58,calamar
628,35,1202,58,chaps357
628,35,1202,58,pegp
