rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
299,247763,Underwater Cities,2018,43,8.059,6.955,-1.104,6.804,-256
300,21763,Mr. Jack,2006,697,6.976,6.971,-0.004,6.803,397
301,218417,Aeon's End: War Eternal,2017,121,8.269,7.340,-0.928,6.802,-180
302,177736,A Feast for Odin,2016,23,8.172,6.904,-1.267,6.801,-279
303,36932,Claustrophobia,2009,457,7.471,7.222,-0.250,6.796,154
304,140934,Arboretum,2015,351,7.299,6.944,-0.354,6.795,47
305,594,Sleuth,1971,1545,6.906,7.803,0.897,6.795,1240
306,15818,Pickomino,2005,1447,6.579,7.069,0.490,6.793,1141
307,155987,Abyss,2014,393,7.328,6.996,-0.332,6.792,86
308,123540,Tokaido,2012,738,6.933,6.908,-0.025,6.792,430
309,258779,Planet Unknown,2022,192,7.818,7.121,-0.697,6.791,-117
310,319966,The King Is Dead: Second Edition,2020,344,7.659,7.252,-0.406,6.791,34
311,256952,Zombie Kidz Evolution,2018,499,7.636,7.400,-0.236,6.791,188
312,317985,Beyond the Sun,2020,87,7.921,6.990,-0.931,6.790,-225
313,172818,Above and Below,2015,348,7.369,6.976,-0.392,6.790,35
314,163166,One Night Ultimate Werewolf: Daybreak,2015,690,7.305,7.291,-0.013,6.788,376
315,298047,Marvel United,2020,300,7.579,7.066,-0.512,6.787,-15
316,220877,Rajas of the Ganges,2017,147,7.728,6.998,-0.729,6.784,-169
317,146652,Legendary Encounters: An Alien Deck Building Game,2014,172,7.756,7.006,-0.750,6.783,-145
318,260180,Project L,2020,388,7.496,7.124,-0.372,6.782,70
319,194594,Dice Forge,2017,428,7.229,6.920,-0.309,6.782,109
320,175117,Celestia,2015,881,6.942,7.045,0.103,6.781,561
321,177524,ICECOOL,2016,1051,6.792,7.053,0.260,6.781,730
322,925,Werewolf,1986,2286,6.470,7.408,0.938,6.778,1964
323,144733,Russian Railroads,2013,115,7.737,6.943,-0.794,6.777,-208
324,63268,Spot it!,2009,1486,6.551,6.931,0.381,6.777,1162
325,20437,Lords of Vegas,2010,513,7.349,7.168,-0.181,6.777,188
326,246192,Gizmos,2018,375,7.389,7.015,-0.373,6.776,49
327,268864,Undaunted: Normandy,2019,167,7.806,7.030,-0.776,6.775,-160
328,12002,Jambo,2004,878,6.993,7.128,0.135,6.774,550
329,314491,Meadow,2021,200,7.762,7.073,-0.689,6.773,-129
330,295374,Long Shot: The Dice Game,2022,315,7.670,7.213,-0.457,6.772,-15
331,8203,"Hey, That's My Fish!",2003,1030,6.695,6.909,0.214,6.771,699
332,115746,War of the Ring: Second Edition,2011,8,8.541,6.905,-1.636,6.770,-324
333,1117,You're Bluffing!,1985,2073,6.577,7.439,0.862,6.769,1740
334,354,Stick 'Em,1993,1198,7.043,7.584,0.541,6.769,864
335,27708,1960: The Making of the President,2007,274,7.622,7.085,-0.538,6.769,-61
336,155362,Ca$h 'n Guns: Second Edition,2014,936,6.832,6.956,0.124,6.765,600
337,9216,Goa: A New Expedition,2004,258,7.560,7.018,-0.542,6.764,-79
338,1231,Bausack,1987,1503,6.800,7.476,0.677,6.763,1165
339,282524,Horrified,2019,199,7.647,6.939,-0.708,6.762,-140
340,18602,Caylus,2005,109,7.716,6.861,-0.855,6.762,-231
341,40692,Small World,2009,349,7.211,6.802,-0.409,6.761,8
342,128671,Spartacus: A Game of Blood and Treachery,2012,435,7.468,7.093,-0.375,6.760,93
343,200680,Agricola (Revised Edition),2016,77,7.957,6.920,-1.037,6.760,-266
344,25554,Notre Dame,2007,397,7.315,6.977,-0.338,6.759,53
345,291457,Gloomhaven: Jaws of the Lion,2020,10,8.431,6.840,-1.590,6.757,-335
346,148949,Istanbul,2014,176,7.543,6.849,-0.694,6.757,-170
347,166384,Spyfall,2014,938,6.781,6.892,0.111,6.755,591
348,58281,Summoner Wars,2009,704,7.231,7.194,-0.037,6.755,356
349,265188,Glen More II: Chronicles,2019,178,7.897,7.102,-0.796,6.755,-171
350,162886,Spirit Island,2017,11,8.344,6.809,-1.535,6.754,-339
351,188866,Awkward Guests: The Walton Case,2016,340,7.589,7.119,-0.470,6.754,-11
352,182028,Through the Ages: A New Story of Civilization,2015,14,8.285,6.844,-1.441,6.753,-338
353,271055,Dwellings of Eldervale,2020,116,8.189,7.189,-0.999,6.753,-237
354,51,Ricochet Robots,1999,831,7.027,7.071,0.044,6.752,477
355,77423,The Lord of the Rings: The Card Game,2011,166,7.662,6.870,-0.792,6.750,-189
356,104006,Village,2011,211,7.494,6.871,-0.623,6.747,-145
357,30869,Thebes,2007,658,7.125,7.038,-0.088,6.746,301
