,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
27,28,5432,7740,,,,,,,,,,,139,8,,,7,2,,,,,,,,,,,,,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,60,,,,,,,4745,22,,,1036,19,,,,,167,8,15,67,,,144,67,,,,,,,,,,,,,,,8,3,,,92,15,262,3,,,,,,,,,,,,,,,105,9,,,,,,,,,140,44,119,49,,,,,,,,,,,,,20,29,,,,,,,,,,,,,,,,,27,8,,,,,,,12,3,,,11,3,,,,,,,,,,,,,,,86,39,8,7,30,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,13,3,,,206,5,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,45
28,29,2398,7462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,63,,,,,,,6352,17,1,36,93,61,,,,,,,22,54,,,347,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,42,,,,,,,,,,,,,,,,,,,,,41,48,,,,,,,,,,,177,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,,,,,,,,,,,,,,,,,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,1258,7157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,37,,,,,,,909,21,,,,,,,6215,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,2392,6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,69,15,,,,,,,644,31,,,,,,,3571,29,,,290,34,,,2,14,195,7,55,34,,,619,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,,,,,,,,,,,,289,26,226,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,13,,,40,22,,,,,,,,,,,,,,,,,187,23,,,,,81,32,,,,,,,,,,,,,,,,,,,,,,,4,25,,,,,,,27,8,,,,,126,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,43
31,32,6819,6887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,15,4130,4,,,,,,,1269,68,6,13,62,74,,,,,,,18,58,,,181,59,,,,,,,,,,,,,,,,,,,49,25,,,,,,,,,,,,,,,,,,,,,,,3,6,,,130,48,82,61,,,,,,,,,,,,,10,48,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,85,40,,,26,28,,,,,,,,,,,,,,,,,335,14,,,,,35,43,,,,,168,45,,,,,,,,,,,,,,,,,16,13,,,,,,,,,,,,,44,36,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,35
32,33,2386,6197,,,,,,,,,,,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,42,,,,,,,18,29,,,,,25,22,179,73,,,,,,,2519,38,4,18,1872,10,,,,,,,83,27,,,206,54,,,,,,,,,,,,,,,,,,,43,26,,,,,,,,,,,27,26,,,,,,,,,,,,,,,161,40,,,,,,,,,,,,,,,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,81,11,,,,,,,,,,,,,,,,,81,32,,,,,83,31,,,,,7,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,15,,,,,,,,,,,30,11,,,,,,,,,,,29,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,513,11
33,34,2921,5932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,47,,,,,,,,,,,,,,,310,51,,,,,,,3572,28,,,,,,,,,,,,,,,350,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,15,,,,,,,,,,,,,37,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,32,,,,,,,,,,,,,,,,,,,,,,,,,,,268,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,39856,5696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,8,,,,,,,,,,,,,,,33,7,,,,,,,56,17,,,,,15,32,422,44,,,,,,,1869,50,,,675,21,,,,,,,,,,,571,22,,,,,,,,,,,,,,,,,,,100,14,,,,,,,,,,,84,17,,,,,,,,,,,,,,,545,12,,,,,,,,,,,,,,,14,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,45,,,,,,,,,,,,,,,,,170,24,,,,,,,,,,,782,16,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,23
35,36,2407,5489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,177,,,,,,,5415,20,,,25,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,1111,5351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12,,,,,,,,,,,,,,,646,30,,,,,54,7,3459,31,,,472,28,,,,,,,,,,,183,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,2785,4928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,2,,,,,,,,,,,,,15,31,169,75,,,,,,,538,120,1,38,2454,5,,,8,5,,,7,95,,,479,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,20,36,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,9,,,,,,,,,,,,,,,,,,,3,1,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,25,89
38,39,11733,4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,98,,,,,,,873,85,,,,,,,,,,,,,,,199,57,,,,,,,,,,,,,,,,,,,,,,,,,463,1,,,,,10,40,,,,,,,,,,,,,,,3077,3,33,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,83,4,,,,,37,6,,,,,8,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,2281,4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,44,,,,,,,,,,,,,,,,,,,,,,,2971,34,,,1276,14,,,,,,,,,,,252,46,,,,,,,,,,,,,,,,,,,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,,186,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,4192,4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13,,,,,,,46,19,,,,,32,18,873,22,,,,,,,1,989,,,208,42,,,,,,,38,37,,,144,66,,,,,,,,,,,,,3,4,,,,,10,44,,,,,,,,,,,65,22,,,,,,,,,,,,,,,419,21,649,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,23,,,,,,,,,,,,,,,,,,,,,96,30,,,,,,,,,,,1834,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,31,,,,,,,,,,,,,,,,,,,,,,,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,1917,4685,,,,,,,,,,,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,35,,,,,,,11,36,,,,,122,7,243,59,,,,,,,2460,40,2,32,317,31,,,1,15,105,10,25,48,,,252,45,,,,,,,,,,,,,,,,,,,74,22,,,,,,,,,,,,,,,,,,,,,,,,,,,127,49,,,,,,,,,,,,,,,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,8,,,13,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,50,,,,,,,,,,,,,,,,,5,21,,,,,,,,,,,,,46,35,,,,,,,,,,,,,,,,,,,,,,,3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,41
42,43,30549,4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,35,,,,,12,34,206,67,,,,,,,3536,30,,,,,,,,,,,,,,,134,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,46,302,30,,,,,,,,,,,,,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,52,,,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,5894,4652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,38,,,,,,,,,,,,,,,413,45,,,,,,,1747,54,,,287,35,,,,,,,32,42,,,318,39,,,,,,,,,,,,,,,,,,,77,21,,,,,,,,,,,,,,,,,,,,,,,,,,,236,33,429,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,36,,,,,,,,,,,,,,,,,,,,,,,,,,,295,12,,,,,632,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,52,,,,,,,,,,,,,,,,,28,14,,,,,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,41114,4436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4282,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,1269,4427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,20,,,,,,,2019,49,,,,,,,,,,,832,5,,,30,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,36218,4387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,24,,,,,7,51,660,28,,,,,,,2243,41,,,50,84,,,,,,,24,49,,,139,68,,,,,,,,,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,54,87,823,18,,,,,,,,,,,,,2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,46,,,34,24,,,,,,,,,,,,,,,,,23,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,26
47,48,28,4378,,,,,,,,,,,218,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,69,,,,,,,1823,52,,,268,37,,,,,,,16,62,,,180,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,12,,,,,,,,,254,31,1295,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,47,,,,,,,,,,,,,,,,,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,11634,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,25,,,,,,,,,,,,,,,28,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,53
49,50,483,4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,43,,,,,,,,,,,,,6,52,153,85,,,,,,,2830,37,,,61,75,,,,,,,15,66,,,175,61,,,,,,,,,,,,,,,,,,,21,35,,,,,,,,,,,,,,,,,,,,,,,3,5,,,130,47,382,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,57,,,8,34,,,,,,,,,,,,,,,,,21,64,,,,,44,40,,,,,189,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,75,,,,,,,,,,,,,,,,,17,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,54
50,51,68448,4064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,45,,,,,,,,,,,,,8,48,177,74,,,,,,,3244,33,,,,,,,,,,,,,,,307,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,51,,,,,,,,,,,,,,,35,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,71,,,,,,,,,1,7,,,,,,,,,,,44,47,,,,,20,57,,,,,72,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,2399,3957,,,,,,,,,,,36,12,,,,,,,7,5,,,,,,,,,5,22,,,,,,,,,4,8,,,,,21,15,,,,,,,20,25,,,,,,,163,78,,,,,,,1864,51,11,5,520,26,,,,,10,17,5,109,,,238,47,,,,,,,,,,,,,,,,,,,21,36,,,,,,,,,,,17,32,,,,,,,,,,,,,,,118,53,202,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,59,,,,,,,,,4,5,,,,,,,,,,,63,38,,,,,116,27,,,9,12,312,30,,,,,,,,,,,,,,,2,5,13,17,,,,,,,,,,,,,16,62,,,,,,,,,,,,,,,,,5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,31
52,53,3955,3878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,,,,,,,6,46,,,,,,,355,49,,,,,,,1602,58,,,240,40,,,,,,,,,,,288,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,21,,,,,,,,,,,,,,,605,10,,,,,,,,,,,,,,,132,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,77,,,,,,,,,,,93,63,,,,,,,,,,,,,,,,,136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,19
53,54,13713,3757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39,,,,,,,,,,,,,31,19,628,33,,,,,,,1134,75,,,286,36,,,3,13,,,108,25,,,499,28,,,,,,,,,,,,,,,,,,,42,27,,,,,,,,,,,6,46,,,,,,,,,,,5,4,,,155,41,185,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,28,,,,,220,18,,,,,126,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,44,,,,,,,,,,,,,,,,,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,29
54,55,9209,3369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60,,,,,,,,,,,,,25,23,278,52,,,,,,,2155,44,,,27,102,,,,,,,79,28,,,1,391,,,,,,,,,,,,,,,,,,,7,47,,,,,,,,,,,12,37,,,,,,,,,,,,,,,171,38,87,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,108,34,2,18,67,13,,,,,,,,,,,,,,,,,68,36,,,,,,,,,,,196,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,34,,,,,,,,,,,16,14,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,
55,56,1602,3214,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,24,,,,,,,,,,,,,5,55,149,89,,,,,,,2128,46,2,31,84,63,,,,,,,,,,,544,25,,,,,,,,,,,,,,,,,,,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,51,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,76,,,,,,,,,,,,,,,,,,,,,56,40,,,,,67,34,,,,,,,,,,,,,,,,,,,,,1,6,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52
56,57,45,3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,5,149,88,,,,,,,,,,,,,,,,,,,28,45,,,445,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,17,1016,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,32,,,,,,,,,,,,,,,,,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,9
57,58,4112,3080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,30,,,,,,,,,,,,,23,27,132,97,,,,,,,1082,76,3,26,198,43,,,4,10,44,13,,,,,210,52,,,,,,,,,,,,,,,,,,,32,31,,,,,,,,,,,,,,,,,3,17,,,,,,,,,111,56,84,59,,,,,,,,,,,,,13,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,53,,,8,35,,,,,,,,,,,,,,,,,571,7,,,,,162,23,,,,,137,48,,,,,,,,,,,,,,,,,5,23,,,,,,,,,,,,,13,68,,,,,,,,,,,74,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,32
58,59,2375,2955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,73
59,60,1293,2909,,,,,,,,,,,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,32,,,,,,,2,60,,,,,,,140,94,,,,,,,2144,45,,,123,51,,,,,,,22,53,,,169,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,49,,,,,,,,,,,,,,,,,,,,,37,49,,,,,26,50,,,,,60,80,,,,,,,,,,,,,,,,,,,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61,34848,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,38,274,54,,,,,,,2101,47,,,197,44,,,,,,,5,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,54,86,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,58
61,62,9364,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,9,,,,,,,342,173,,,,,,,,,,,,,,,43,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
