,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
28,29,3886,6766,,,,,,,,,,,,,,,,,,,,,,,,,,,163,5,,,,,,,,,,,,,,,13,21,,,,,,,,,,,,,149,7,2404,9,,,,,,,,,10,956,4,32,296,33,9,12,,,16,13,147,12,,,409,36,,,3,4,,,,,,,,,,,,,12,43,,,,,,,,,,,587,2,,,,,,,,,,,,,,,599,12,69,50,,,,,,,,,,,,,21,34,,,,,,,7,2,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,37,7,8,165,8,,,,,,,,,,,,,243,23,,,,,660,6,,,234,2,174,42,,,,,,,,,,,,,,,,,72,5,1,18,,,,,,,,,,,71,31,,,,,,,,,,,,,,,,,61,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,45
29,30,2398,6661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,65,,,,,,,,,5458,20,4,29,73,66,,,,,,,22,46,,,444,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,48,,,,,,,,,,,,,,,,,67,40,,,,,,,,,,,131,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,42,,,,,,,,,,,,,,,,,73,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,2952,6641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,107,10,767,30,,,,,,,,,3355,32,2,43,603,23,,,5,7,,,117,16,,,503,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,,,,,,,,,449,22,37,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,27,,,116,11,,,,,,,,,,,,,,,,,,,84,30,,,,,129,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,39856,6347,,,,,,,,,,,,,,,,,,,,,,,,,,,125,7,,,,,,,,,,,,,,,18,14,,,,,,,71,17,,,,,10,48,536,41,,,,,,,,,2490,42,,,,,,,,,,,,,,,646,24,,,,,,,,,,,,,,,,,73,18,,,,,,,,,,,158,13,,,,,,,,,,,,,,,596,13,,,,,,,,,,,,,,,47,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,,,,,,,,,,410,14,,,,,,,,,,,875,18,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,21
32,33,2386,6025,,,,,,,,,,,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,31,,,,,,,47,21,,,,,,,167,91,,,,,,,,,2426,45,6,15,1762,8,,,,,,,48,31,,,361,41,,,,,,,,,,,,,,,,,55,24,,,,,,,,,,,24,30,,,,,,,,,,,,,,,230,34,,,,,,,,,,,,,,,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,121,10,,,,,,,,,,,,,71,37,,,,,62,35,,,,,5,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,22,,,,,,,,,,,18,11,,,,,,,,,,,8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,456,11
33,34,5894,5963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,,,,,,,,,,,,,,,381,52,,,,,,,,,2571,41,,,323,30,,,,,,,16,53,,,366,40,,,,,,,,,,,,,,,,,119,11,,,,,,,,,,,,,,,,,,,,,,,,,,,300,27,503,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,51,,,,,,,,,,,,,,,,,,,,,,,248,16,,,,,919,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,12,,,,,31,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,1111,5849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19,,,,,,,,,,,,,,,746,31,,,,,26,9,,,3823,26,,,390,27,,,,,,,,,,,251,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,1269,5827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245,19,,,,,,,,,3779,27,,,,,,,,,,,490,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,11733,5655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,107,,,,,,,10,1,1190,73,,,,,,,,,,,,,,,270,48,,,,,,,,,,,,,,,,,,,,,,,437,1,,,,,12,45,,,,,,,,,,,,,,,3411,2,40,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,,,,,,,,,98,4,,,,,26,7,,,,,15,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,2921,5599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,53,,,,,,,,,,,,,,,510,44,,,,,,,,,3143,33,,,,,,,,,,,,,,,333,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947,13,,,,,,,,,,,,,309,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,25,,,,,,,,,,,,,,,,,,,,,,,174,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,2785,5520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,2,,,,,,,,,,,,,22,29,228,69,,,,,,,,,495,137,4,30,2980,5,,,11,2,,,,,,,781,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,23,37,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,13,,,,,,,,,,,,,,,1,1,69,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,18,88
39,40,41114,5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5402,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,36218,5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,61,,,,,,,27,26,,,,,4,72,814,27,,,,,,,,,3047,35,,,23,107,,,,,,,32,37,,,199,58,,,,,,,,,,,,,,,,,16,39,,,,,,,,,,,,,,,,,,,,,,,,,,,84,64,634,17,,,,,,,,,,,,,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,44,,,32,27,,,,,,,,,,,,,32,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,33
41,42,4192,5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,27,,,,,,,77,16,,,,,43,20,1246,18,,,,,,,,,24,847,,,221,42,,,,,,,50,30,,,171,65,,,,,,,,,,,5,3,,,,,19,35,,,,,,,,,,,96,20,,,,,,,,,,,,,,,489,19,388,26,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,28,,,,,,,,,,,,,,,,,133,26,,,,,,,,,,,1939,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,29,,,,,,,,,,,,,,,,,,,,,,,38,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,1917,5101,,,,,,,,,,,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,39,,,,,,,22,28,,,,,126,9,303,59,,,,,,,,,2580,40,4,28,357,28,,,,,77,9,31,38,,,351,43,,,,,,,,,,,,,,,,,68,19,,,,,,,,,,,,,,,,,,,,,,,,,,,91,61,,,,,,,,,,,,,,,19,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,7,,,13,36,,,,,,,,,,,,,,,,,,,,,,,,,98,58,,,,,,,,,,,,,,,,,1,35,,,,,,,,,,,,,48,37,,,,,,,,,,,,,,,,,,,,,,,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,58
43,44,11634,4897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4808,22,,,,,,,,,,,,,,,28,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,64
44,45,2407,4494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,196,,,,,,,,,4422,23,,,21,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,28,4447,,,,,,,,,,,283,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,53,,,,,,,,,2621,39,,,297,32,,,,,,,22,45,,,283,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,47,,,,,,,,,,,,,,,,,144,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,29146,4381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,37,,,,,,,,,789,98,,,,,,,,,,,,,,,134,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,,,,,,,,,,,,,,,,,189,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,30549,4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,36,,,,,3,80,319,57,,,,,,,,,3110,34,,,,,,,,,,,,,,,185,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,54,373,27,,,,,,,,,,,,,9,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,54,,,22,31,,,,,,,,,,,,,,,,,,,,,,,,,134,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,2281,4347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,52,,,,,,,,,,,,,,,,,,,,,,,,,2754,37,,,1099,15,,,,,,,,,,,258,50,,,,,,,,,,,,,,,,,25,31,,,,,,,,,,,,,,,,,,,,,,,,,,,184,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,3955,4330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,41,,,,,,,13,40,,,,,,,112,118,,,,,,,,,1972,51,,,277,35,,,,,,,,,,,490,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,16,,,,,,,,,,,,,,,692,9,,,,,,,,,,,,,,,244,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,17
50,51,18011,4322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,,,,,,,,,11,24,,,,,,,51,18,,,,,,,128,110,,,,,,,,,1671,58,6,16,484,26,7,14,,,,,15,60,,,109,76,,,,,,,,,,,,,,,,,19,36,38,5,,,,,,,,,21,37,,,,,21,14,,,,,,,,,40,94,740,15,,,,,,,,,,,,,35,21,,,,,,,5,4,,,,,,,,,,,,,,,14,3,,,,,27,7,,,,,,,,,,,,,29,70,7,9,9,40,,,,,,,,,,,,,38,49,,,,,88,29,,,,,530,27,,,,,,,,,,,,,5,8,7,4,16,13,,,,,,,,,,,,,20,52,,,,,16,4,,,,,,,,,,,35,23,,,,,11,22,,,2,2,,,,,49,10,,,,,,,,,,,,,,,,,,,,,,
51,52,483,4310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65,,,,,,,,,,,,,15,37,185,81,,,,,,,,,2693,38,,,,,,,,,,,12,67,,,261,49,,,,,,,,,,,,,,,,,13,40,,,,,,,,,,,,,,,,,,,,,,,1,5,,,68,75,394,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,58,,,14,35,,,,,,,,,,,,,28,61,,,,,45,40,,,,,372,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,53,,,,,,,,,,,,,,,,,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,29
52,53,9209,4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60,,,,,,,,,,,,,27,24,406,51,,,,,,,,,2866,36,,,34,92,,,,,,,84,23,,,7,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,44,,,,,,,,,,,,,,,185,38,2,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,105,35,4,16,83,14,,,,,,,,,,,,,127,27,,,,,,,,,,,157,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,32,,,,,,,,,,,10,16,,,,,,,,,,,,,,,,,,,,,4,18,,,,,,,,,,,,,,,,,,,,,,
53,54,2399,4187,,,,,,,,,,,37,13,,,,,,,5,4,,,,,,,11,18,,,,,,,,,4,8,,,,,10,26,,,,,,,29,24,,,,,,,156,97,,,,,,,,,1513,59,7,11,1362,11,,,,,16,12,15,58,,,100,82,,,,,,,,,,,,,,,,,26,30,,,,,,,,,,,21,36,,,,,,,,,,,,,,,128,52,158,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,74,,,,,,,6,4,,,,,,,,,69,38,,,,,94,28,,,16,9,236,39,,,,,,,,,,,,,,,,,13,16,,,,,,,,,,,,,14,57,,,,,,,,,,,,,,,,,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,32
54,55,13713,4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18,,,,,,,,,,,,,43,21,819,26,,,,,,,,,1318,67,,,161,48,,,1,13,,,43,33,,,682,22,,,,,,,,,,,,,,,,,20,33,,,,,,,,,,,6,49,,,,,,,,,,,2,4,,,182,40,239,30,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,32,,,,,241,17,,,,,18,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,44,,,,,,,,,,,,,,,,,94,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,26
55,56,2086,3583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,18,,,,,,,,,,,40,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,76,588,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,23,,,,,590,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,14
56,57,6472,3506,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,61,,,,,,,,,1797,55,,,355,29,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,34,,,,,,,,,,,623,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,34
57,58,9364,3472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2983,6,,,,,,,,,410,153,,,,,,,,,,,,,,,50,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59,1293,3286,,,,,,,,,,,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,34,,,,,,,7,46,,,,,,,190,78,,,,,,,,,2304,47,,,131,52,,,,,,,23,44,,,179,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,26,,,,,,,,,,,,,,,,,34,53,,,,,30,48,,,,,129,53,,,,,,,,,,,,,,,,,,,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,4112,3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,32,,,,,,,,,,,,,23,27,181,83,,,,,,,,,1387,62,2,44,195,44,,,1,12,49,10,,,,,256,51,,,,,,,,,,,,,,,,,36,27,,,,,,,,,,,,,,,,,20,15,,,,,,,,,51,84,75,48,,,,,,,,,,,,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,40,,,19,32,,,,,,,,,,,,,200,25,,,,,150,22,,,,,151,46,,,,,,,,,,,,,,,,,5,24,,,,,,,,,,,,,12,68,,,,,,,,,,,91,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,42
60,61,98,3009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,28,225,70,,,,,,,,,2279,48,,,29,94,,,,,,,16,51,,,54,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,69,,,,,,,,,,,,,,,12,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,41,,,23,30,,,,,,,,,,,,,,,,,,,63,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,31
61,62,891,2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,67,,,,,,,,,,,,,,,179,87,,,,,,,,,2137,50,,,266,37,,,,,,,,,,,227,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63,68448,2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,13,,,,,,,,,,,,,10,49,274,63,,,,,,,,,1898,52,,,,,,,,,,,,,,,405,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,66,,,,,,,,,,,,,,,22,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,55,,,,,,,1,8,,,,,,,,,38,50,,,,,5,79,,,,,51,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64,26952,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867,53,1,49,,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,21,,,,,,,,,,,534,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,85
