,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
17,18,2243,16634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,,,,,,,,,,,,,,,20,31,,,,,,,,,,,,,,,3855,3,,,,,,,,,5842,17,,,,,,,,,,,,,,,1213,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,5,,,,,267,11,,,,,,,,,,,,,,,,,546,24,196,39,,,,,,,,,,,,,15,40,,,,,,,,,,,,,,,,,80,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,10,,,,,,,,,,,,,,,,,,,,,,,,,1223,5,,,,,387,13,,,,,17,11,895,16,,,,,,,,,,,8,5,,,,,,,,,,,104,4,,,,,764,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,46
18,19,811,16151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,4,,,,,,,18,41,,,,,,,1529,18,,,,,,,,,4327,28,6,22,1608,12,,,,,,,231,17,,,1736,8,,,,,,,,,,,,,,,8,4,,,,,,,616,5,,,,,,,,,,,138,18,,,,,,,,,,,,,,,,,116,72,323,31,,,,,,,,,,,,,249,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058,6,,,19,30,,,,,,,,,,,,,,,,,,,,,733,10,,,,,473,10,,,,,237,4,363,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260,5
19,20,2136,15263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,6,,,,,,,,,,,,,,,,,,,,,,,379,5,,,,,,,3641,6,,,,,,,,,4336,27,4,29,265,47,,,,,1109,4,,,,,376,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,8,,,,,331,8,11,7,,,,,,,,,,,,,,,342,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,1522,2,,,,,,,,,,,,,,,,,,,,,,,,,1620,3,,,,,,,,,,,,,102,65,,,,,,,,,,,,,,,,,12,7,,,234,3,,,,,7,2,,,5,3,,,407,5,,,,,,,,,,,,,,,,,,,53,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,39
20,21,5072,12221,,,,,,,,,,,11,19,,,,,,,,,,,,,,,,,,,21,17,,,,,229,2,,,,,,,,,10,45,,,,,,,,,,,,,165,8,614,52,,,,,,,,,7577,15,5,26,103,72,,,,,38,18,,,,,434,46,,,,,,,,,,,,,,,,,62,2,,,,,,,807,2,,,,,,,,,,,,,,,,,176,9,,,,,,,,,209,55,442,24,,,,,,,,,,,,,43,17,,,,,,,,,,,,,,,,,,,,,,,,,44,1,,,28,2,,,497,2,36,6,,,,,,,,,,,,,48,69,6,11,149,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,63,,,,,,,,,,,,,,,,,,,30,2,,,,,,,,,,,,,,,42,45,,,,,198,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,56
21,22,39856,12209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,7,,,,,,,,,,,,,,,113,3,,,,,,,96,20,,,,,32,33,1062,32,,,,,,,,,2963,43,,,2204,7,,,,,,,31,51,,,1026,17,,,,,,,,,,,,,,,,,,,,,,,138,13,,,,,,,,,,,88,23,,,,,,,,,,,,,,,,,2184,4,,,,,,,,,,,,,,,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29,,,,,,,,,,,,,,,,,,,,,440,21,,,,,282,19,,,,,,,952,15,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,28
22,23,3886,11936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,4,,,,,,,,,,,,,,,23,27,,,,,,,163,12,,,,,71,18,2296,11,,,,,,,,,3262,37,4,32,434,35,38,11,4,14,120,11,248,14,,,472,41,,,,,6,3,,,,,,,,,,,,,,,,,53,31,,,,,,,,,,,802,3,,,,,,,,,,,,,,,,,817,14,139,51,,,,,,,,,,,,,17,36,,,,,,,,,20,2,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,51,1,16,85,10,,,,,,,,,,,,,,,,,,,,,498,19,,,,,471,11,,,,,277,2,263,38,,,,,,,,,,,,,,,,,,,,,84,9,13,16,,,,,503,2,,,,,175,21,,,,,,,,,,,,,,,,,,,32,21,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,52
23,24,2386,10713,,,,,,,,,,,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,33,,,,,,,52,25,,,,,33,31,231,104,,,,,,,,,4547,26,11,9,2413,6,,,,,,,107,27,,,608,32,,,,,,,,,,,,,,,,,,,,,,,40,38,,,,,,,,,,,58,25,,,,,,,,,,,,,,,,,306,45,,,,,,,,,,,,,,,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,124,8,,,,,,,,,,,,,,,,,,,,,208,29,,,,,145,29,,,,,,,7,128,,,,,,,,,,,,,,,,,,,,,1123,1,,,,,,,,,,,,,65,37,,,,,,,,,,,,,30,12,,,,,,,,,,,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,483,15
24,25,27443,10551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29,,,,,,,75,22,,,20,2,40,28,676,50,,,,,55,10,,,785,128,18,6,408,38,49,9,,,,,120,26,,,442,44,,,,,,,,,,,,,,,,,,,,,,,57,29,,,,,70,11,,,,,,,,,,,,,,,,,,,,,,,816,15,1159,13,,,,,,,,,,,,,371,3,,,,,,,,,,,,,,,,,,,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,32,,,,,,,,,,,,,,,,,,,,,,,,,348,24,,,,,172,25,,,,,,,868,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,1,,,,,,,,,,,80,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2689,3
25,26,822,10491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,12,,,,,,,,,,,,,,,44,15,,,,,,,168,11,,,10,6,26,36,1255,24,,,,,20,13,,,3659,33,7,18,525,31,,,,,,,250,13,,,819,26,,,,,,,,,,,,,,,,,,,,,,,43,35,,,,,,,,,,,190,14,,,,,,,,,,,,,,,,,703,19,372,27,,,,,,,,,,,,,62,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,19,9,10,68,14,,,,,,,,,,,,,,,,,,,,,453,20,,,,,187,24,,,,,,,639,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18,,,,,,,,,,,,,,,,,,,,,,,255,24
26,27,2952,9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,,,,,,,,103,10,1217,26,,,,,,,,,3955,31,3,35,1050,19,,,6,11,,,274,11,,,1127,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,,,,,,,12,6,981,10,26,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,24,,,65,16,,,,,,,,,,,,,,,,,,,,,,,,,,,147,28,,,,,,,172,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,2392,9447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,21,,,,,,,171,10,,,,,,,833,40,,,,,51,11,,,4570,24,,,267,46,,,10,7,242,7,91,32,,,1008,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,28,,,,,,,,,,,,,,,,,394,31,293,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,29,,,67,15,,,,,,,,,,,,,,,,,,,,,614,14,,,,,124,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,14,,,,,,,67,8,,,,,118,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,32
28,29,9209,8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,36,,,,,,,,,,,,,64,21,748,46,,,,,,,,,5088,21,,,241,49,,,,,8,25,178,22,,,6,409,,,,,,,,,,,,,,,,,,,,,,,30,39,,,,,,,,,,,46,27,,,,,,,,,,,,,,,,,591,22,176,43,,,,,,,,,,,,,12,49,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,26,2,14,75,12,,,,,,,,,,,,,,,,,,,,,427,22,,,,,,,,,,,,,227,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,18,,,,,,,,,,,,,18,14,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,,,,,,,,,,,,
29,30,2719,8383,,,,,,,,,,,80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,45,,,,,39,29,629,51,,,,,,,,,4894,22,7,19,388,39,12,19,,,,,69,35,,,886,24,,,,,,,,,,,,,,,,,,,,,,,209,9,,,,,,,,,,,16,40,,,,,,,,,,,,,,,,,346,35,,,,,,,,,,,,,,,33,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,43,,,,,,,,,,,,,,,,,,,,,,,,,56,52,,,,,,,,,,,,,269,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,28,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,31
30,31,4192,8191,,,,,,,,,,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,35,,,,,,,41,29,,,,,64,20,1019,34,,,,,,,,,3775,32,,,228,50,,,,,,,92,30,,,304,61,,,,,,,,,,,,,,,4,6,,,,,,,12,50,,,,,,,,,,,32,31,,,,,,,,,,,,,,,,,322,42,525,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,37,,,,,,,,,,,,,,,,,,,,,,,,,115,35,,,,,,,,,,,,,1248,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,31,,,,,,,,,,,,,,,,,,,,,,,,,52,20,,,,,,,,,,,,,,,,,,,,,1,11,,,,,,,,,,,99,49
31,32,178900,8024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,,,,,,,102,18,,,,,,,825,41,,,,,,,,,5469,19,,,,,,,,,,,,,,,411,47,,,,,,,,,,,,,,,,,,,,,,,106,19,,,,,,,,,,,27,33,,,,,,,,,,,,,,,,,312,44,137,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,46,,,,,,,,,,,,,,,,,,,,,,,,,147,32,,,,,,,,,,,,,292,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,2921,7634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,,,,,,,,,,,,706,49,,,,,,,,,4568,25,,,,,,,,,,,,,,,277,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,12,,,,,,,,,,,,,112,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,18011,7449,,,,,,,,,,,43,15,,,,,,,,,,,,,,,,,5,5,,,,,,,51,4,,,,,,,,,25,25,,,,,,,52,26,,,,,,,201,115,,,,,,,,,3323,35,3,37,780,23,13,18,2,18,,,13,92,,,208,80,,,,,,,,,,,,,,,,,,,,,,,49,32,83,4,,,6,16,,,,,12,44,,,,,,,44,14,,,,,,,,,69,95,801,14,,,,,,,,,4,3,,,30,24,,,,,,,,,7,3,,,,,,,,,,,4,2,,,,,,,22,3,,,,,13,9,,,,,,,,,,,,,33,81,1,17,8,38,,,,,,,,,,,,,,,,,,,,,123,34,,,,,341,15,,,,,,,670,19,,,,,,,,,,,,,,,,,10,8,5,4,14,17,,,,,,,,,,,,,30,54,,,,,8,8,,,,,,,,,,,,,40,14,,,,,62,17,,,7,2,,,,,89,10,,,,,,,,,,,6,10,,,,,,,,,,,139,36
34,35,6819,7426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,3833,4,,,,,,,,,1508,81,1,52,102,73,,,,,,,19,66,,,220,77,,,,,,,,,,,,,,,,,,,,,,,43,36,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,147,64,110,59,,,,,,,,,,,,,22,28,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,108,49,,,15,31,,,,,,,,,,,,,,,,,,,,,544,16,,,,,31,51,,,,,,,175,49,,,,,,,,,,,,,,,,,,,,,21,16,,,,,,,,,,,,,285,12,,,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,45
35,36,1258,7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,63,,,,,,,909,36,,,,,,,,,6150,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37,1111,6725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,17,,,,,,,,,,,,,,,992,35,,,,,146,7,,,3085,40,,,678,26,,,,,,,,,,,208,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,2398,6384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,38,238,101,,,,,,,,,4846,23,10,12,157,59,,,,,,,23,58,,,554,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,107,114,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,61,,,,,,,,,,,,,,,,,,,,,,,,,60,48,,,,,,,,,,,,,170,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,51,,,,,,,,,,,,,,,,,,,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,30549,6280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,31,,,,,5,72,520,60,,,,,,,,,3997,30,,,278,45,,,,,,,,,,,388,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,51,,,,,,,,,,,,,,,,,342,37,216,37,,,,,,,,,,,,,5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,58,,,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,5432,6082,,,,,,,,,,,185,8,,,7,2,,,,,,,,,,,,,,,26,15,,,,,137,3,,,,,,,,,,,,,,,,,,,,,,,,,404,72,,,,,,,,,1538,78,,,1011,21,,,,,170,8,21,62,,,213,78,,,,,,,,,,,,,,,,,17,3,,,,,135,14,232,3,,,,,,,,,,,,,,,,,338,7,,,,,,,,,227,53,127,54,,,,,,,,,,,,,20,31,,,,,,,,,,,,,,,,,,,91,3,,,,,,,,,15,4,,,76,3,,,,,,,,,,,,,,,230,30,14,7,47,22,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,,,,,29,55,,,,,79,3,,,91,2,,,364,5,,,,,,,,,,,140,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,64
40,41,2785,6066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,2,,,,,,,,,,,,,19,39,238,102,,,,,,,,,624,150,4,30,2642,5,,,6,10,,,8,112,,,742,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,37,,,,,,,,,,,,,,,,,693,20,38,87,,,,,,,,,,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,11,,,,,,,,,,,,,,,,,,,,,8,1,,,72,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,28,97
41,42,1917,5863,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,,,,,,,23,35,,,,,71,17,503,62,,,,,,,,,2726,49,3,34,301,43,,,2,17,111,12,13,88,,,519,36,,,,,,,,,,,,,,,,,,,,,,,98,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,79,,,,,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,5,,,7,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,54,,,,,,,,,,,,,,,,,,,,,13,18,,,,,,,,,,,,,46,43,,,,,,,,,,,,,,,,,,,,,,,,,5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,62
42,43,28,5684,,,,,,,,,,,199,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,179,,,,,,,,,1587,76,,,575,29,,,,,,,15,79,,,237,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,13,,,,,,,,,120,69,2649,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,56,,,,,,,,,,,,,,,,,,,33,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,36218,5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,49,,,,,,,45,27,,,,,15,41,1209,28,,,,,,,,,2829,46,,,68,87,,,,,,,35,49,,,346,54,,,,,,,,,,,,,,,,,,,,,,,17,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,111,602,20,,,,,,,,,,,,,15,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,48,,,27,27,,,,,,,,,,,,,,,,,,,,,60,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,50
44,45,13713,5467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,34,,,,,,,,,,,,,59,24,875,38,,,,,,,,,1593,75,,,360,40,,,6,12,,,69,36,,,922,23,,,,,,,,,,,,,,,,,,,,,,,27,40,,,,,,,,,,,13,43,,,,,,,,,,,,,3,8,,,389,33,161,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,52,,,,,,,,,,,,,,,,,,,,,,,,,169,30,,,,,301,18,,,,,,,187,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,,,,,,,,,,,,,,,,,,,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,38
45,46,2407,5431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,245,,,,,,,,,5235,20,,,125,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,188834,5415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,30,,,,,,,,,4049,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,2281,5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,20,,,,,,,,,,,,,,,,,,,,,,,,,3123,38,,,1206,18,,,,,,,,,,,362,52,,,,,,,,,,,,,,,,,,,,,,,40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
