,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
20,21,811,9315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3,,,,,,,9,39,,,,,,,890,23,,,,,,,,,3727,29,,,1433,10,,,,,,,59,28,,,754,17,,,,,,,,,,,,,,,,,185,6,,,,,,,,,,,75,22,,,,,,,,,,,,,,,41,93,142,35,,,,,,,,,,,,,444,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,6,,,31,26,,,,,,,,,,,157,25,,,,,272,11,,,40,8,317,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,5432,9203,,,,,,,,,,,186,8,,,21,1,,,,,,,,,,,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,63,,,,,,,,,6721,17,,,745,21,,,,,161,6,14,69,,,145,69,,,,,,,,,,,,,4,4,,,59,18,105,3,,,,,,,,,,,,,,,161,7,,,,,,,,,80,62,80,47,,,,,,,,,,,,,13,46,,,,,,,,,,,,,,,,,20,6,,,,,,,8,4,,,14,3,,,,,,,,,,,,,,,97,36,13,5,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,9,3,,,180,5,,,,,,,,,,,35,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,47
22,23,2719,8667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,25,490,41,,,,,,,,,6661,18,6,20,209,37,,,,,,,39,33,,,616,22,,,,,,,,,,,,,,,,,42,28,,,,,,,,,,,10,41,,,,,,,,,,,,,,,181,39,,,,,,,,,,,,,,,8,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,54,,,,,,,,,,,,,,,41,50,,,,,,,,,,,133,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,48,,,,,,,,,,,,,,,,,,,,,,,3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,29
23,24,822,8586,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,,,,,,,,,,,,,,,16,14,,,,,,,,,,,7,4,34,23,891,22,,,,,,,,,3585,33,6,18,424,27,,,,,,,224,5,,,325,41,,,,,,,,,,,,,,,,,44,26,,,,,,,,,,,90,19,,,,,,,,,,,,,,,353,24,614,18,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,15,8,8,74,9,,,,,,,,,,,329,14,,,,,94,28,,,,,428,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,9,,,,,,,,,,,,,,,,,,,,,,,4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,12
24,25,1258,8179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,28,,,,,,,933,20,,,,,,,,,7202,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,2136,7820,,,,,,,,,,,,,,,,,,,,,,,,,,,89,7,,,,,,,,,,,,,,,,,,,,,,,199,8,,,,,,,2324,7,,,,,,,,,2540,48,18,4,159,46,,,,,363,3,,,,,196,55,,,,,,,,,,,,,,,,,,,,,,,88,8,,,,,153,8,,,,,,,,,,,,,,,216,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,512,9,,,,,,,,,,,,,,,510,8,,,,,,,,,,,45,73,,,,,,,,,,,,,,,,,66,5,,,,,,,,,5,3,,,269,7,,,,,,,,,,,,,,,,,46,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,116
26,27,2952,7314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,12,,,,,,,,,,,,,87,11,595,34,,,,,,,,,4123,27,8,14,664,23,,,5,11,,,122,12,,,545,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,,,,,,,,,418,17,33,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,21,,,52,19,,,,,,,,,,,,,,,,,122,24,,,,,136,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,2399,7252,,,,,,,,,,,48,12,,,,,,,12,3,,,,,,,7,19,,,,,,,,,9,6,,,,,7,28,,,,,,,18,29,,,,,,,142,85,,,,,,,,,1420,65,6,19,4366,3,,,,,6,17,14,67,,,120,75,,,,,,,,,,,,,,,,,53,23,,,,,,,,,,,31,28,,,,,,,,,,,,,,,234,30,145,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,55,,,,,,,10,3,,,,,,,73,38,,,,,94,29,,,12,11,249,37,,,,,,,,,,,,,,,,,7,22,,,,,,,,,,,,,25,46,,,,,,,,,,,,,,,,,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,41
28,29,1269,6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867,24,,,,,,,,,5331,22,,,,,,,,,,,409,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,2398,6836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,60,,,,,,,,,5660,21,3,36,68,66,,,,,,,15,58,,,428,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,43,,,,,,,,,,,,,,,61,42,,,,,,,,,,,124,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,45,,,,,,,,,,,,,,,,,83,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,2392,6687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,23,,,,,,,87,14,,,,,,,801,28,,,,,,,,,3691,31,,,203,39,,,13,3,109,7,,,,,564,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,33,,,,,,,,,,,,,,,257,28,221,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,23,,,58,14,,,,,,,,,,,219,19,,,,,120,25,,,,,,,,,,,,,,,,,,,,,,,3,33,,,,,,,10,9,,,,,70,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,57
31,32,6819,6516,,,,,,,,,,,,,,,,,,,,,,,,,,,47,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,22,3719,2,,,,,,,,,1382,66,7,16,29,95,,,,,,,32,38,,,162,65,,,,,,,,,,,,,,,,,47,24,,,,,,,,,,,,,,,,,,,,,,,6,3,,,94,58,73,52,,,,,,,,,,,,,12,51,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,67,50,,,27,29,,,,,,,,,,,393,11,,,,,25,50,,,,,161,44,,,,,,,,,,,,,,,,,8,21,,,,,,,,,,,,,69,28,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,37
32,33,41114,6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6286,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,3886,6179,,,,,,,,,,,,,,,,,,,,,,,,,,,161,5,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,115,9,2155,9,,,,,,,,,55,578,10,9,256,35,8,15,,,17,13,142,9,,,367,38,,,9,2,,,,,,,,,,,,,15,39,,,,,,,,,,,520,2,,,,,,,,,,,,,,,587,11,87,44,,,,,,,,,,,,,12,50,,,,,,,,,11,2,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,40,3,17,109,8,,,,,,,,,,,169,24,,,,,627,5,,,169,2,182,43,,,,,,,,,,,,,,,,,65,6,5,17,,,,,,,,,,,84,21,,,,,,,,,,,,,,,,,68,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,43
34,35,2921,6065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,59,,,,,,,,,,,,,,,337,49,,,,,,,,,4139,26,,,,,,,,,,,,,,,308,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,13,,,,,,,,,,,,,78,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,29,,,,,,,,,,,,,,,,,,,,,187,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,2386,5946,,,,,,,,,,,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36,,,,,,,44,21,,,,,,,94,111,,,,,,,,,2549,47,4,27,1727,8,,,,,,,61,27,,,298,44,,,,,,,,,,,,,,,,,42,27,,,,,,,,,,,35,27,,,,,,,,,,,,,,,200,34,,,,,,,,,,,,,,,43,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,72,11,,,,,,,,,,,68,39,,,,,61,33,,,,,12,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,20,,,,,,,,,,,19,11,,,,,,,,,,,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,463,11
36,37,6472,5805,,,,,,,,,,,,,,,,,,,,,,,,,,,39,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,43,,,,,,,,,3199,37,,,487,24,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,26,,,,,,,,,,,969,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,26
37,38,5894,5693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,33,,,,,,,,,,,,,,,278,55,,,,,,,,,2694,43,,,339,31,,,,,,,31,40,,,348,40,,,,,,,,,,,,,,,,,56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,184,37,543,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,30,,,,,,,,,,,,,,,,,,,,,198,16,,,,,804,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,18,,,,,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,2785,5593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,,,,,,,,,,,,23,30,232,59,,,,,,,,,404,160,6,21,3128,5,,,10,7,,,4,132,,,745,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,20,49,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,11,,,,,,,,,,,,,,,32,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,16,100
39,40,39856,5593,,,,,,,,,,,,,,,,,,,,,,,,,,,82,8,,,,,,,,,,,,,,,23,8,,,,,,,57,17,,,,,25,28,393,46,,,,,,,,,2562,46,,,,,,,,,,,,,,,543,25,,,,,,,,,,,,,,,,,55,21,,,,,,,,,,,107,14,,,,,,,,,,,,,,,327,25,,,,,,,,,,,,,,,24,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,36,,,,,,,,,,,239,17,,,,,,,,,,,832,17,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,20
40,41,1111,5579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,46,,,,,,,,,,,,,,,656,31,,,,,26,10,,,3727,30,,,410,28,,,,,,,,,,,257,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,36218,5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41,,,,,,,40,23,,,,,10,53,673,30,,,,,,,,,3294,34,,,33,90,,,,,,,35,37,,,146,67,,,,,,,,,,,,,,,,,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,66,73,690,15,,,,,,,,,,,,,64,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,52,,,30,27,,,,,,,,,,,29,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,32
42,43,4192,5325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,29,,,,,,,64,16,,,,,49,15,1217,15,,,,,,,,,3,967,,,202,40,,,,,,,84,23,,,231,51,,,,,,,,,,,4,3,,,,,9,43,,,,,,,,,,,117,12,,,,,,,,,,,,,,,438,16,443,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,22,,,,,,,,,,,,,,,124,28,,,,,,,,,,,2038,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,27,,,,,,,,,,,,,,,,,,,,,,,30,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,1917,5306,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,31,,,,,,,21,27,,,,,99,10,279,54,,,,,,,,,2655,45,3,35,347,30,,,,,97,9,19,50,,,362,39,,,,,,,,,,,,,,,,,84,15,,,,,,,,,,,,,,,,,,,,,,,,,,,87,60,,,,,,,,,,,,,,,32,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,3,,,24,30,,,,,,,,,,,,,,,,,,,,,,,98,54,,,,,,,,,,,,,,,,,10,19,,,,,,,,,,,,,47,35,,,,,,,,,,,,,,,,,,,,,,,12,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,56
44,45,11634,5237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5168,24,,,,,,,,,,,,,,,25,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,73
45,46,483,5177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,,,,,,,,,,,,,16,36,175,71,,,,,,,,,2812,40,,,,,,,,,,,14,66,,,264,47,,,,,,,,,,,,,,,,,15,38,,,,,,,,,,,,,,,,,,,,,,,5,4,,,76,64,410,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,60,,,14,31,,,,,,,,,,,22,66,,,,,51,35,,,,,1105,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,50,,,,,,,,,,,,,,,,,39,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,34
46,47,30549,4722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,35,,,,,2,87,212,62,,,,,,,,,3621,32,,,,,,,,,,,,,,,191,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,88,380,26,,,,,,,,,,,,,23,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,49,,,11,33,,,,,,,,,,,,,,,,,,,,,,,109,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,2281,4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,25,,,,,,,,,,,,,,,,,,,,,,,,,3202,36,,,975,18,,,,,,,,,,,263,49,,,,,,,,,,,,,,,,,20,34,,,,,,,,,,,,,,,,,,,,,,,,,,,150,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,2407,4571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,176,,,,,,,,,4488,25,,,31,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,11733,4511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,89,,,,,,,3,1,1090,83,,,,,,,,,,,,,,,184,61,,,,,,,,,,,,,,,,,,,,,,,296,2,,,,,16,36,,,,,,,,,,,,,,,2639,3,44,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,70,3,,,,,20,7,,,,,4,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,9209,4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50,,,,,,,,,,,,,30,24,290,53,,,,,,,,,3228,35,,,27,97,,,,,,,100,19,,,3,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,29,,,,,,,,,,,,,,,155,42,7,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,112,31,1,19,48,20,,,,,,,,,,,83,34,,,,,,,,,,,194,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,34,,,,,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,14,13,,,,,,,,,,,,,,,,,,,,,,
51,52,18011,4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,,,,,,6,34,,,,,,,51,18,,,,,,,132,92,,,,,,,,,1784,59,1,48,470,25,7,16,,,,,17,55,,,126,74,,,,,,,,,,,,,,,,,27,32,24,5,,,,,,,,,9,42,,,,,19,15,,,,,,,,,61,77,738,14,,,,,,,,,,,,,23,33,,,,,,,,,6,3,,,,,,,,,,,,,,,14,3,,,,,52,4,,,,,,,,,,,,,31,67,9,7,8,40,,,,,,,,,,,56,45,,,,,106,27,,,,,277,34,,,,,,,,,,,,,6,8,10,3,9,20,,,,,,,,,,,,,12,65,,,,,20,4,,,,,,,,,,,25,26,,,,,11,25,,,,,,,,,49,8,,,,,,,,,,,,,,,,,,,,,,
52,53,3955,4170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,67,,,,,,,8,42,,,,,,,92,112,,,,,,,,,1905,55,,,299,32,,,,,,,,,,,439,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,16,,,,,,,,,,,,,,,597,10,,,,,,,,,,,,,,,288,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,17
53,54,68448,3951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,53,,,,,,,,,,,,,8,64,177,69,,,,,,,,,3140,38,,,,,,,,,,,,,,,369,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,69,,,,,,,,,,,,,,,17,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,63,,,,,,,,,,,,,,,61,44,,,,,11,66,,,,,59,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,29146,3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,40,,,,,,,,,814,99,,,,,,,,,,,,,,,105,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,40,,,,,,,,,,,,,,,,,44,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
