,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
20,21,2136,10036,,,,,,,,,,,,,,,,,,,,,,,,,,,119,8,,,,,,,,,,,,,,,,,,,,,,,237,6,,,,,,,3934,9,,,,,,,,,2523,48,5,24,130,52,,,,,326,4,,,,,230,57,,,,,,,,,,,,,,,,,,,,,,,113,6,,,,,135,15,,,,,,,,,,,,,,,368,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3,,,,,,,,,,,,,,,,,,,,,654,10,,,,,,,,,,,,,,,,,772,7,,,,,,,,,,,88,64,,,,,,,,,,,,,,,,,66,7,,,,,,,,,8,3,,,204,10,,,,,,,,,,,,,,,,,69,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,57
21,22,27443,9966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,49,,,,,,,44,21,,,4,8,41,20,840,35,,,,,,,,,788,108,2,45,677,22,23,11,,,,,96,20,,,363,42,,,,,,,,,,,,,,,,,,,,,,,38,12,,,,,,,,,,,,,,,,,,,,,399,30,587,18,,,,,,,,,,,1999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,25,,,,,,,,,,,,,,,,,315,21,,,,,230,16,,,,,803,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2
22,23,5432,9235,,,,,,,,,,,154,7,,,10,2,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,79,,,,,,,,,6331,15,,,887,17,,,,,157,6,15,65,,,194,62,,,,,,,,,,,,,6,4,,,132,9,33,4,,,,,,,,,,,,,,,274,6,,,,,,,,,154,57,102,45,,,,,,,,,,,26,30,,,,,,,,,,,,,,,30,7,,,,,,,4,7,,,16,3,,,,,,,,,,,,,,,106,41,13,6,45,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,11,2,,,129,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,29
23,24,6819,8692,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,17,5437,2,,,,,,,,,1563,66,5,27,,,,,,,,,41,34,,,422,38,,,,,,,,,,,,,,,,,30,27,,,,,,,,,,,,,,,,,,,,,,,4,4,,,116,66,53,60,,,,,,,,,,,9,55,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,85,51,,,30,27,,,,,,,,,,,,,390,18,,,,,49,36,,,,,193,45,,,,,,,,,,,,,,,,,11,16,,,,,,,,,,,,,57,34,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,39
24,25,2719,8670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,77,,,,,,,,,,,,,30,23,621,41,,,,,,,,,6259,17,6,20,210,42,,,,,,,32,38,,,774,21,,,,,,,,,,,,,,,,,91,13,,,,,,,,,,,11,43,,,,,,,,,,,,,,,252,42,,,,,,,,,,,,,13,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,52,,,,,,,,,,,,,,,,,38,54,,,,,,,,,,,125,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,45,,,,,,,,,,,,,,,,,,,,,,,5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,37
25,26,2921,8601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,48,,,,,,,,,,,,,,,669,40,,,,,,,,,5843,20,,,,,,,,,,,,,,,328,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354,9,,,,,,,,,,,63,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,26,,,,,,,,,,,,,,,,,,,,,,,152,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27,3886,8573,,,,,,,,,,,,,,,,,,,,,,,,,,,164,5,,,,,,,,,,,,,,,13,28,,,,,,,,,,,,,62,12,3989,6,,,,,,,,,10,948,14,8,241,39,13,14,,,29,12,119,17,,,486,33,,,5,4,,,,,,,,,,,,,21,36,,,,,,,,,,,641,2,,,,,,,,,,,,,,,682,19,95,48,,,,,,,,,,,33,24,,,,,,,13,2,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,46,8,11,96,11,,,,,,,,,,,,,213,25,,,,,537,7,,,197,2,197,44,,,,,,,,,,,,,,,,,77,4,2,16,,,,,,,,,,,72,26,,,,,,,,,,,,,,,,,331,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,33
27,28,2952,8433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,85,10,1022,28,,,,,,,,,3925,30,9,12,687,20,,,12,4,,,162,8,,,729,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,,,,,,,,,945,11,26,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,28,,,142,7,,,,,,,,,,,,,,,,,,,116,27,,,,,178,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,5072,8386,,,,,,,,,,,5,18,,,,,,,,,,,,,,,20,14,,,,,43,2,,,,,,,,,15,25,,,,,,,,,,,,,139,6,578,43,,,,,,,,,6081,18,11,11,97,60,,,,,,,,,,,321,45,,,,,,,,,,,,,9,2,,,,,114,2,,,,,,,,,,,,,,,177,8,,,,,,,,,90,75,245,31,,,,,,,,,,,14,45,,,,,,,,,,,,,,,,,,,15,1,,,27,2,,,56,2,,,,,,,,,,,,,,,29,71,20,4,68,14,,,,,,,,,,,,,,,,,,,,,,,,,113,57,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,25,50,,,,,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,59
29,30,39856,8309,,,,,,,,,,,,,,,,,,,,,,,,,,,87,9,,,,,,,,,,,,,,,28,12,,,,,,,76,16,,,,,17,34,684,39,,,,,,,,,2913,40,,,,,,,,,,,,,,,909,19,,,,,,,,,,,,,,,,,44,25,,,,,,,,,,,125,16,,,,,,,,,,,,,,,1572,5,,,,,,,,,,,,,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,57,,,,,,,,,,,,,550,10,,,,,,,,,,,1002,17,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,21
30,31,2392,7996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,40,,,,,,,83,14,,,,,,,836,36,,,,,,,,,4446,27,,,320,32,,,13,3,117,7,,,,,760,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,24,,,,,,,,,,,,,,,323,35,290,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,21,,,44,24,,,,,,,,,,,,,180,26,,,,,123,26,,,,,,,,,,,,,,,,,,,,,,,8,24,,,,,,,12,9,,,,,82,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,46
31,32,1258,7185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,35,,,,,,,1721,15,,,,,,,,,5425,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,1111,6926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,38,,,,,,,,,,,,,,,818,37,,,,,106,7,,,3499,34,,,684,21,,,,,,,,,,,275,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,2398,6639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,73,,,,,,,,,5494,21,3,37,,,,,,,,,17,62,,,454,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,49,,,,,,,,,,,,,,,,,90,39,,,,,,,,,,,102,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,49,,,,,,,,,,,,,,,,,45,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,2386,6278,,,,,,,,,,,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,24,,,,,,,22,26,,,,,,,6,484,,,,,,,,,2633,46,7,17,1901,7,,,,,,,48,31,,,363,41,,,,,,,,,,,,,,,,,44,24,,,,,,,,,,,32,31,,,,,,,,,,,,,,,265,39,,,,,,,,,,,,,29,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,99,10,,,,,,,,,,,,,70,44,,,,,64,32,,,,,11,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,19,,,,,,,,,,,8,13,,,,,,,,,,,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,511,10
35,36,36218,6164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,56,,,,,,,32,22,,,,,8,55,1175,26,,,,,,,,,3537,33,,,,,,,,,,,31,39,,,196,61,,,,,,,,,,,,,,,,,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,98,70,723,15,,,,,,,,,,,14,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,44,,,26,30,,,,,,,,,,,,,47,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,38
36,37,2785,6118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,2,,,,,,,,,,,,,18,33,304,62,,,,,,,,,645,122,6,21,2652,5,,,8,7,,,1,144,,,1049,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,18,39,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,13,,,,,,,,,,,,,,,4,1,25,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,14,111
37,38,5894,6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,35,,,,,,,,,,,,,,,399,52,,,,,,,,,2393,52,,,396,28,,,,,,,49,30,,,393,40,,,,,,,,,,,,,,,,,78,19,,,,,,,,,,,,,,,,,,,,,,,,,,,236,45,556,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,37,,,,,,,,,,,,,,,,,,,,,,,279,13,,,,,1044,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,16,,,,,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,13713,6015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29,,,,,,,,,,,,,25,28,868,33,,,,,,,,,3082,37,,,271,37,,,4,12,,,27,43,,,633,25,,,,,,,,,,,,,,,,,26,30,,,,,,,,,,,13,41,,,,,,,,,,,3,7,,,182,54,272,30,,,,,,,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,35,,,,,138,22,,,,,17,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,46,,,,,,,,,,,,,,,,,164,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,27
39,40,30549,5957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,,,,,13,42,325,59,,,,,,,,,4474,26,,,,,,,,,,,,,,,303,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,62,204,33,,,,,,,,,,,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,43,,,23,32,,,,,,,,,,,,,,,,,,,,,,,,,248,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,9209,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,61,,,,,,,,,,,,,27,24,404,50,,,,,,,,,3721,31,,,33,99,,,,,,,67,25,,,9,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,32,,,,,,,,,,,,,,,711,15,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,136,31,5,16,51,20,,,,,,,,,,,,,180,27,,,,,,,,,,,288,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,27,,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,,,9,14,,,,,,,,,,,,,,,,,,,,,,
41,42,4192,5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,33,,,,,,,70,17,,,,,44,18,1274,22,,,,,,,,,5,959,,,289,34,,,,,,,53,29,,,186,63,,,,,,,,,,,1,6,,,,,8,44,,,,,,,,,,,115,17,,,,,,,,,,,,,,,545,25,378,24,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,24,,,,,,,,,,,,,,,,,129,30,,,,,,,,,,,2193,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,29,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,41114,5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5382,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,483,5328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27,,,,,,,,,,,,,23,29,219,83,,,,,,,,,3693,32,,,,,,,,,,,24,48,,,253,54,,,,,,,,,,,,,,,,,10,42,,,,,,,,,,,,,,,,,,,,,,,3,5,,,132,63,333,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,53,,,13,35,,,,,,,,,,,,,27,68,,,,,46,37,,,,,335,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,55,,,,,,,,,,,,,,,,,40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,45
44,45,18011,5159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,,,,,,,,,11,32,,,,,,,61,18,,,,,,,203,88,,,,,,,,,1968,57,12,10,665,23,12,15,,,,,27,44,,,148,71,,,,,,,,,,,,,,,,,33,26,23,5,,,,,,,,,17,33,,,,,21,14,,,,,,,,,53,97,825,13,,,,,,,,,,,47,18,,,,,,,1,4,,,,,,,,,,,,,,,7,6,,,,,15,7,,,,,,,,,,,,,36,65,5,17,11,36,,,,,,,,,,,,,67,45,,,,,167,19,,,,,516,28,,,,,,,,,,,,,9,7,7,4,7,26,,,,,,,,,,,,,30,44,,,,,20,4,,,,,,,,,,,62,20,,,,,11,27,,,,,,,,,37,9,,,,,,,,,,,,,,,,,,,,,,
45,46,1917,5139,,,,,,,,,,,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,17,,,,,,,20,28,,,,,93,9,309,61,,,,,,,,,2861,41,5,23,284,36,,,,,95,9,17,61,,,311,46,,,,,,,,,,,,,,,,,86,15,,,,,,,,,,,,,,,,,,,,,,,,,,,91,74,,,,,,,,,,,,,21,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,9,,,22,33,,,,,,,,,,,,,,,,,,,,,,,,,115,56,,,,,,,,,,,,,,,,,4,32,,,,,,,,,,,,,33,43,,,,,,,,,,,,,,,,,,,,,,,5,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,47
46,47,3955,4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,54,,,,,,,19,29,,,,,,,152,108,,,,,,,,,2056,55,,,336,30,,,,,,,,,,,485,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,21,,,,,,,,,,,,,,,1065,9,,,,,,,,,,,,,265,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,16
47,48,2281,4898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,26,,,,,,,,,,,,,,,,,,,,,,,,,3080,38,,,1090,16,,,,,,,,,,,261,53,,,,,,,,,,,,,,,,,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,375,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,1269,4895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436,18,,,,,,,,,2950,39,,,,,,,,,,,307,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,2407,4674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,237,,,,,,,,,4593,25,,,34,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,9364,4470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961,8,,,,,,,,,426,172,,,,,,,,,,,,,,,43,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,11733,4223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,110,,,,,,,8,1,1040,87,,,,,,,,,,,,,,,173,66,,,,,,,,,,,,,,,,,,,,,,,299,2,,,,,8,48,,,,,,,,,,,,,,,2420,3,43,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,53,5,,,,,15,8,,,,,4,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,11634,4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014,29,,,,,,,,,,,,,,,35,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,79
53,54,28,4005,,,,,,,,,,,182,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,60,,,,,,,,,2504,50,,,262,38,,,,,,,22,51,,,304,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,,,,,,,,,,,,,,,,,103,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,891,3920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,46,,,,,,,,,,,,,,,275,67,,,,,,,,,2462,51,,,346,29,,,,,,,,,,,415,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,2399,3898,,,,,,,,,,,35,12,,,,,,,13,4,,,,,,,11,17,,,,,,,,,4,9,,,,,24,13,,,,,,,21,27,,,,,,,212,84,,,,,,,,,1746,61,4,30,486,27,,,,,19,13,12,71,,,113,80,,,,,,,,,,,,,,,,,26,29,,,,,,,,,,,34,29,,,,,,,,,,,,,,,242,43,157,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,67,,,,,,,2,6,,,,,,,,,76,42,,,,,153,20,,,8,14,309,34,,,,,,,,,,,,,,,,,11,15,,,,,,,,,,,,,24,51,,,,,,,,,,,,,,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,35
