,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
bgg_id,name,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,best_rating,total,rank
113106,Sara Zarian,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.5205,1,209
60914,Karin Hetling,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.51925,1,210
11222,Dale Yu,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.51485,1,211
427,Hanno Girke,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.51485,1,211
11507,Klemens Franz,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.51485,1,211
64163,Iris Rossbach,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.49665,1,214
6008,Alessandro Zucchini,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,215
817,Dirk Hanneforth,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,215
6330,Rüdiger Husmeier,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,1,215
94,Reinhold Wittig,0,0,0,0,0,0,0,0,0,1,10,11,0,0,0,0,5.55915,11,218
244,Kris Burm,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,7.28326,6,219
365,Roland Siegers,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5.52866,6,220
1210,Haim Shafir,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5.779,6,221
144,Jacques Zeimet,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,6.58171,5,222
59,Marcel-André Casasola Merkle,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6.61139,4,223
172,Urs Hostettler,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6.34872,4,224
233,Johann Rüttinger,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5.53844,4,225
35418,Simone Luciani,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,7.8479,4,226
491,Gunter Baars,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5.55047,4,227
104,Eric Solomon,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5.9195,3,228
72628,Théo Rivière,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,6.95688,3,229
4337,Ludovic Maublanc,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,6.8641,3,230
4308,Bernhard Lach,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,6.43657,3,231
4307,Uwe Rapp,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,6.43657,3,231
132,Günter Cornett,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.57875,2,233
74,Doris Matthäus,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.31302,2,234
75,Frank Nestel,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.31302,2,234
84,Peter Burley,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.28634,2,236
217,Max J. Kobbert,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.23243,2,237
101,Michel Lalet,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.21813,2,238
104579,Michael Loth,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.19828,2,239
7101,Rüdiger Koltze,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.19093,2,240
221,Robert Abbott,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.1251,2,241
83,Niek Neuwahl,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.12236,2,242
2790,Bernd Eisenstein,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.06935,2,243
190,Spartaco Albertarelli,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6.0232,2,244
1106,Andrea Meyer,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5.96581,2,245
8795,Robert Doyle,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5.74523,2,246
254,Walter Müller,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5.57662,2,247
1130,Gerhard E. Kodys,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5.54414,2,248
609,Ferdinand Hein,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5.50704,2,249
