bgg_id,name,year,award,winner,nominated,recommended,sonderpreis,bayes_rating,designer
7067,Schloss Schlotterstein,2003,kinder,False,False,True,,5.52829,645
7067,Schloss Schlotterstein,2003,kinder,False,False,True,,5.52829,748
7338,Epaminondas,1975,spiel,False,False,True,,5.60645,221
7377,Tri-Ba-Lance,1995,spiel,False,False,True,,5.54157,1336
7483,Schatz der Drachen,2003,kinder,False,True,True,,5.64145,2
7578,Word-Whiz,1996,spiel,False,False,True,,5.52654,816
7717,Carcassonne: The Castle,2003,spiel,False,False,True,,6.75788,2
7717,Carcassonne: The Castle,2003,spiel,False,False,True,,6.75788,398
7806,King Up!,2004,spiel,False,False,True,,5.95985,2729
7854,YINSH,2003,spiel,False,False,True,,7.28326,244
7973,My Haunted Castle,1989,kinder,True,True,True,,5.5146,3
7973,My Haunted Castle,1989,kinder,True,True,True,,5.5146,179
7993,Pole Position,1989,spiel,False,False,True,,5.54414,1130
8051,Attika,2003,spiel,False,False,True,,6.61139,59
8126,Maya,2003,spiel,False,False,True,,5.68341,2790
8129,Sluff Off!,2003,spiel,False,False,True,,6.27334,13
8168,Campus,1985,spiel,False,False,True,,5.51319,538
8172,Coyote,2003,spiel,False,False,True,,6.0232,190
8195,Viva Topo!,2002,kinder,True,True,True,,6.03505,500
8203,"Hey, That's My Fish!",2003,spiel,False,False,True,,6.57875,132
8203,"Hey, That's My Fish!",2003,spiel,False,False,True,,6.57875,2815
8217,San Juan,2004,spiel,False,False,True,,7.07106,117
8262,Mücke mit Tücke,2003,kinder,False,False,True,,5.50759,1726
8299,Robbys Rutschpartie,2003,kinder,False,True,True,,,272
8299,Robbys Rutschpartie,2003,kinder,False,True,True,,,7
8299,Robbys Rutschpartie,2003,kinder,False,True,True,,,2268
8589,Viele Dinge,2003,spiel,False,False,True,,5.51522,814
8589,Viele Dinge,2003,spiel,False,False,True,,5.51522,227
8946,Da Vinci Code,2002,spiel,False,False,True,,5.79261,59211
8946,Da Vinci Code,2002,spiel,False,False,True,,5.79261,3569
8964,Funny Bunny,1999,kinder,False,False,True,,5.47634,113670
9021,Sunken City,2004,spiel,False,False,True,,5.69185,42
9021,Sunken City,2004,spiel,False,False,True,,5.69185,7
9022,Im Reich des weißen Bären,1991,spiel,False,False,True,,5.50206,1176
9027,Oasis,2004,spiel,False,False,True,,6.13127,9
9027,Oasis,2004,spiel,False,False,True,,6.13127,235
9209,Ticket to Ride,2004,spiel,True,True,True,,7.2774,9
9217,Saint Petersburg,2004,spiel,False,True,True,,7.04804,928
9408,Dos Rios,2004,spiel,False,False,True,,5.8616,57
9440,Maharaja: The Game of Palace Building in India,2004,spiel,False,True,True,,6.6257,42
9440,Maharaja: The Game of Palace Building in India,2004,spiel,False,True,True,,6.6257,7
9441,Ribbit,2004,kinder,False,True,True,,6.19307,2
9597,Vier zu mir!,1996,kinder,True,True,True,,5.51498,3244
9674,Ingenious,2004,spiel,False,True,True,,6.90918,2
9989,Mare Polare,2004,kinder,False,True,True,,5.50477,285
10508,Leinen los!,1997,kinder,True,True,True,,5.51637,24
10509,Ringel-Rangel,1993,kinder,True,True,True,,,1391
10511,Gute Freunde,1988,kinder,True,True,True,,5.49033,24
10802,Somethin' Fishy,2004,spiel,False,False,True,,5.52046,961
10814,Dawn Under,2004,spiel,False,True,True,,5.77216,3513
10997,Boomtown,2004,spiel,False,False,True,,6.08004,1727
10997,Boomtown,2004,spiel,False,False,True,,6.08004,125
11084,Jumbo & Co,2004,spiel,False,False,True,,5.52565,1429
11231,Snorta!,2004,kinder,False,False,True,,5.73879,4369
11231,Snorta!,2004,kinder,False,False,True,,5.73879,4368
11421,Uisge,1983,spiel,False,False,True,,5.51522,365
11778,Cat & Mouse,2001,kinder,False,False,True,,5.44019,3
11797,Treasure Hunt,2003,kinder,False,True,True,,,816
11797,Treasure Hunt,2003,kinder,False,True,True,,,817
11915,Tabaijana: Flucht von der Feuerinsel,1990,spiel,False,False,True,,5.50694,7
11945,Linq,2004,spiel,False,False,True,,5.96581,1106
11945,Linq,2004,spiel,False,False,True,,5.96581,3772
11971,Cockroach Poker,2004,spiel,False,False,True,,6.58171,144
11972,Monte Rolla,2003,kinder,False,False,True,,5.51079,3777
11972,Monte Rolla,2003,kinder,False,False,True,,5.51079,3778
11973,Können Schweine fliegen?,2004,kinder,False,False,True,,5.54539,3779
11974,"Kipp, Kipp, Ahoi!",2004,kinder,False,False,True,,5.50348,491
11976,Spatzenbande,2004,kinder,False,False,True,,,645
12002,Jambo,2004,spiel,False,True,True,,6.68601,381
12005,Around the World in 80 Days,2004,spiel,False,True,True,,6.13957,142
12305,Scalino,1970,spiel,False,False,True,,,1480
12318,Typo,2004,spiel,False,False,True,,5.62973,124
12346,Spooky Stairs,2003,kinder,True,True,True,,5.92657,3882
12359,Schieberbande,1986,spiel,False,False,True,,,2141
12942,No Thanks!,2004,spiel,False,False,True,,6.95337,85
13005,Dance of Ibexes,2004,spiel,False,False,True,,5.76242,7
13065,Flieg Dumbo Flieg,1989,spiel,False,False,True,,,179
13089,Wie ich die Welt sehe...,2004,spiel,False,False,True,,5.70161,172
13236,Der Schwarze Prinz,1983,spiel,False,False,True,,,233
13308,Niagara,2004,spiel,True,True,True,,6.25122,4155
13926,Froschkönig,2003,kinder,False,False,True,,5.5359,4308
13926,Froschkönig,2003,kinder,False,False,True,,5.5359,4307
14035,Piranha Pedro,2004,spiel,False,False,True,,5.73979,12705
14035,Piranha Pedro,2004,spiel,False,False,True,,5.73979,1288
14113,Netzwerk,1984,spiel,False,False,True,,,1147
14208,Der Krähenschatz,2003,kinder,False,False,True,,,951
14729,Krokodil unterm Bett,2002,kinder,False,False,True,,,1898
15062,Shadows over Camelot,2005,spiel,False,False,False,Fantasy Game,6.94328,1727
15062,Shadows over Camelot,2005,spiel,False,False,False,Fantasy Game,6.94328,295
15512,Incan Gold,2005,spiel,False,False,True,,6.69678,125
15512,Incan Gold,2005,spiel,False,False,True,,6.69678,9
16052,Merlin,1978,spiel,False,False,True,,5.47913,8795
16140,Zahlenzwerge,2005,kinder,False,False,True,,,4849
16140,Zahlenzwerge,2005,kinder,False,False,True,,,9962
16149,Up And Down,2005,kinder,False,False,True,,5.55047,491
16151,Krabbel-Trabbel,2005,kinder,False,False,True,,,2
16308,Ombagi,1980,spiel,False,False,True,,,94
16369,Das Kleine Gespenst,2005,kinder,True,True,True,,5.54354,645
16474,"Geißlein, versteck dich!",2003,kinder,False,False,True,,5.50952,236
16474,"Geißlein, versteck dich!",2003,kinder,False,False,True,,5.50952,237
16496,Roma,2005,spiel,False,False,True,,6.35362,4958
16767,Frantic Frogs,2004,kinder,False,False,True,,,315
16767,Frantic Frogs,2004,kinder,False,False,True,,,3980
16767,Frantic Frogs,2004,kinder,False,False,True,,,1050
17025,Poison,2005,spiel,False,False,True,,6.11415,2
17044,Riombo,1983,spiel,False,False,True,,,94
17053,Sleeping Queens,2005,kinder,False,False,True,,6.10444,5114
17235,Mago Magino,2004,kinder,False,True,True,,5.54498,2
17240,That's Life!,2005,spiel,False,True,True,,6.09871,42
17240,That's Life!,2005,spiel,False,True,True,,6.09871,7
17329,Animal Upon Animal,2005,kinder,False,False,True,,6.52141,5178
17534,Just4Fun,2005,spiel,False,True,True,,5.57449,272
17724,Mister Zero,1985,spiel,False,False,True,,,5280
17724,Mister Zero,1985,spiel,False,False,True,,,5281
17784,Galaxis,1980,spiel,False,False,True,,,2819
17785,Seti,1979,spiel,False,False,True,,5.49458,855
17785,Seti,1979,spiel,False,False,True,,5.49458,275
17786,Wendo,1977,spiel,False,False,True,,,3
17788,Cash & Carry,1979,spiel,False,False,True,,,5307
17794,Quibbix,1980,spiel,False,False,True,,,377
17813,Vokabo,1982,spiel,False,False,True,,,233
17814,Fang mich! ... wenn du kannst,1982,spiel,False,False,True,,,2684
17815,Skript,1982,spiel,False,False,True,,,159
