game_id,bgg_id,name,num_all_matches,num_connected_matches,num_all_players,num_connected_players,num_regular_players,num_max_matches,two_player_only,elo_k,std_dev,p_deterministic
16,37628,Haggis,104450,95127,16371,7950,883,10295,false,28.6,123.0,0.51
1076,88594,Eruption,95333,67007,76782,26986,951,4153,false,41.8,122.8,0.51
1909,397393,Altered,1948403,1929049,78552,62046,14416,8988,true,23.1,122.6,0.51
2238,336934,Love Links,514,343,422,189,5,70,false,64.3,122.3,0.51
1419,284584,Troyes Dice,117948,111773,16602,10451,1680,3085,false,34.2,121.9,0.51
1394,,Splendor,9916457,9677107,761433,625477,130481,38211,false,26.6,121.6,0.51
1746,236457,Architects of the West Kingdom,81747,70880,39361,27284,1485,4300,false,48.6,121.5,0.51
18,42215,Tobago,71678,57403,35448,18509,815,7376,false,44.6,121.3,0.51
1245,121297,Fleet,35846,28414,14874,7624,513,1695,false,38.6,121.0,0.51
1035,54321,Evo: The “Game no Name”,127,93,84,32,2,74,false,99.0,120.4,0.5
1113,63888,Innovation,966724,945272,36866,25473,5464,13199,false,16.5,119.9,0.5
1861,340816,101: the match,17890,15237,6635,4010,237,570,true,34.9,119.8,0.5
1227,9217,Saint Petersburg,895739,880945,48423,35314,6306,14146,false,18.8,119.7,0.5
1521,170216,Blood Rage,113307,102374,51763,34274,2177,1807,false,56.3,119.5,0.5
1800,251412,On Tour,28177,23080,14765,7973,324,903,false,40.8,119.1,0.5
1833,290236,Canvas,59190,42197,42153,20565,569,601,false,49.4,118.8,0.5
2405,447583,Viva Catrina,57595,53471,12780,8921,1046,1503,false,42.0,118.6,0.5
1509,328479,Living Forest,218938,209915,24539,18067,3218,4401,false,32.6,118.4,0.5
1327,255029,Verona Twist,8732,5489,5522,2339,52,348,true,36.2,118.4,0.5
38,13308,Niagara,34456,24335,38986,16339,433,2002,false,60.5,118.4,0.5
1358,14186,Bao la Kiswahili,13732,12994,1803,851,107,3271,true,22.7,117.8,0.5
2224,393880,Biomes of Nilgiris,1429,1156,968,592,20,75,false,86.1,117.7,0.5
1,822,Carcassonne,14664854,14357901,1003315,750424,100664,41510,false,19.9,117.4,0.49
1335,155987,Abyss,213309,193431,58059,37575,3156,4303,false,36.5,117.3,0.49
1601,282475,Gangsta!,15065,12781,4566,2348,183,1375,false,31.7,116.9,0.49
1528,305841,Tiny Farms,8839,6545,5267,2553,97,316,false,39.4,116.8,0.49
1738,367662,Applejack,157427,147939,20488,13695,1756,3094,false,26.4,116.7,0.49
39,681,Quarto,838637,653075,187496,106765,10035,6215,true,39.9,116.5,0.49
1236,21763,Mr. Jack,149059,106173,48717,21377,1406,2329,true,32.6,116.3,0.49
1757,380178,OASIS New Hope,10361,8443,4799,2555,135,607,false,38.3,116.1,0.49
2177,426509,the itty bitty card game,1356,775,1067,444,11,99,false,57.9,115.9,0.49
1656,328565,Caper: Europe,43839,35119,14826,7688,477,1837,true,36.2,115.9,0.49
2138,28738,Kamon,72432,63537,13214,8636,1127,1971,true,30.2,115.7,0.49
2293,435810,Legions,10872,8470,5856,2799,139,368,true,51.3,115.4,0.49
2289,339789,Welcome To The Moon,168714,152212,25651,16319,2768,3364,false,32.0,115.3,0.49
2516,401636,Tacta,4368,3033,4052,2023,27,105,false,52.1,114.5,0.48
2054,416952,Onda,1386,971,1367,695,12,152,false,48.4,114.1,0.48
1242,225569,Geek Out! Masters,970,432,855,255,4,74,false,48.9,113.9,0.48
1545,318556,Tucano,62806,53350,20416,11548,830,1728,false,36.6,113.8,0.48
1541,352818,Twin Palms,5173,3585,4421,2143,44,202,false,54.0,113.8,0.48
2028,399941,River of Gold,37624,32519,16128,10803,641,951,false,42.4,113.5,0.48
2020,347218,Dickory,1589,927,1072,413,11,55,true,42.5,113.5,0.48
1783,309105,Sagani,151203,144931,15351,11699,2103,4284,false,26.0,113.3,0.48
2240,349082,Kingscraft,7954,6264,3657,2048,114,195,false,51.8,113.1,0.48
2305,270443,Misty,1323,849,1380,691,6,50,false,98.8,112.9,0.48
30,108745,Seasons,10445890,10342648,377471,291338,57033,40922,false,16.6,112.9,0.48
2146,368173,Let's Go! To Japan,122970,111662,27339,16341,2031,1488,false,32.5,112.8,0.48
1801,250442,Crypt,4701,2677,5875,2174,22,101,false,52.9,112.8,0.48
1449,,Dodo,20873,9695,13316,2918,142,805,true,36.0,112.8,0.48
2162,425428,Survive The Island,62349,50581,39629,21446,939,1566,false,44.0,112.6,0.48
2376,418388,Stem & Branch,344,199,414,177,3,50,false,71.4,112.4,0.48
2339,334065,Verdant,80480,73023,18211,12024,1268,1350,false,33.4,112.4,0.48
2264,399368,Bunny Drops,1348,978,978,385,10,396,false,28.4,112.4,0.48
1821,379290,Timeline Twist,52485,24928,32592,9754,371,1265,false,38.9,112.0,0.48
2421,402676,Cities,33838,29265,16602,10854,502,529,false,43.5,111.8,0.48
2175,416552,Stalk Exchange,14752,10997,8813,4350,189,280,false,39.6,111.6,0.48
1012,54321,8 Masters' Revenge,45911,41270,8818,4187,510,3736,true,27.8,111.4,0.48
1885,399757,Linx,32837,25872,14236,7572,404,1252,false,37.1,111.2,0.47
1687,365211,Cosmos: Empires,12369,9853,4866,2136,174,1409,false,29.9,111.2,0.47
1932,394306,Le Roy des Ribauds,18539,13083,4680,2354,230,894,true,35.0,111.1,0.47
33,54043,Jaipur,1406708,1302605,160357,111310,17759,10449,true,26.9,111.0,0.47
1536,309886,Worldwide Tennis,15231,13165,4951,1939,164,695,true,23.8,110.7,0.47
1503,205398,Citadels,106017,93734,47092,26578,1479,2287,false,36.1,110.5,0.47
1473,288254,Simplicity,13605,10092,9295,4451,164,508,false,41.0,110.2,0.47
1774,380105,Get on Board: Paris & Roma,12596,10448,6115,3350,150,1347,false,33.3,110.1,0.47
1940,264241,Mandala,59502,50000,14160,8109,862,1354,true,34.3,110.0,0.47
64,10,Elfenland,81091,63022,47737,21778,909,4551,false,37.8,110.0,0.47
2294,419669,Panda Rei,2907,1795,3305,1514,22,87,false,41.5,109.9,0.47
1175,180974,Potion Explosion,1213346,1160749,99097,64731,12160,13570,false,21.7,109.9,0.47
1839,340541,Wizards of the Grimoire,58777,44793,14823,5679,580,2648,true,27.2,109.8,0.47
1594,271324,It's a Wonderful World,2346346,2306023,121144,97507,21923,10531,false,21.0,109.6,0.47
1873,366013,Heat: Pedal to the Metal,232438,209083,81570,55611,6038,2502,false,42.0,109.3,0.47
2512,457476,Spirited,1052,581,1598,640,6,40,false,44.6,109.2,0.47
2250,421232,Captain Tsubasa: The card game,25245,22678,5880,2763,276,1159,true,28.8,108.9,0.47
1749,370193,Roll to the Top: Journeys,151789,138247,25337,15964,2144,4368,false,34.8,108.7,0.47
