bgg_id,name,year
316,Chase,1985
1143,Warrior Knights,1985
334,Advance to Boardwalk,1985
4878,How to Host a Murder: Grapes of Frath,1985
11407,Matching Madness,1985
13115,Taki,1985
1142,Sabotage,1985
10687,Tipsy Tower,1985
3557,Steppe,1985
1235,Yellowstone,1985
7713,Dingo,1985
1960,Last Word,1985
3051,How to Host a Murder: The Last Train from Paris,1985
2832,Great Western Railway Game,1985
3371,September,1985
1193,The Bottom Line,1985
724,Chill: Black Morn Manor,1985
792,Megiddo,1985
2436,"Murder, She Wrote",1985
5839,Trivial Pursuit: Walt Disney Family Edition Card Set,1985
2450,Deuce,1985
4877,How to Host a Murder: The Watersdown Affair,1985
702,Wabbit Wampage,1985
3149,Lost Valley of the Dinosaurs,1985
2404,Sorcerer King,1985
3022,Clue VCR Mystery Game,1985
4537,Baston,1985
1715,Od,1985
1673,Ultimate Golf,1985
2196,Out of Context,1985
15624,Gangster,1985
5786,Star Trek: The Enterprise 4 Encounter,1985
4874,How to Host a Murder: The Chicago Caper,1985
8486,Bed Bugs,1985
4450,The Road to Vicksburg: The Battle of Champion Hill,1985
13817,Monopoly: 1935 Commemorative Edition,1985
1209,Pax Britannica: The Colonial Era 1880 to the Great War,1985
1719,Dark Emperor,1985
10880,Calciomania,1985
18499,Fuldrigger,1985
8454,Rise of the House of Sa'ud,1985
1496,Imperium Romanum II,1985
6813,Operation Market Garden: Descent Into Hell,1985
1836,Solarquest,1985
4336,Cromwell's Victory: The Battle of Marston Moor,1985
6022,13: The Colonies in Revolt,1985
5727,Europe at War,1985
22354,Dagon contra el Hechicero de los Reinos Negros,1985
2782,Vantage,1985
8366,Wellington Vs Massena,1985
24042,La Caída del Imperio Romano,1985
5030,No Respect: Rodney Dangerfield's Game,1985
5736,Ace of Aces: Balloon Buster,1985
26122,Monopoly: Spanish,1985
7635,Torch,1985
5622,Pacific War: The Struggle Against Japan 1941-1945,1985
8409,Red Baron,1985
6008,Ruweisat Ridge: The First Battle of El Alamein,1985
3863,007 James Bond: Live and Let Die,1985
6023,Thunder at Luetzen,1985
9110,Superpowers at War,1985
2073,Sixth Fleet: Modern Naval Combat in the Mediterranean,1985
6809,007 James Bond: The Man with the Golden Gun,1985
10304,Julius Caesar: Game of the Gallic Wars,1985
1669,Mosby's Raiders: Guerilla Warfare in the Civil War,1985
11889,End of the Iron Dream,1985
3309,Air Cav,1985
1945,Ultimatum,1985
8456,Fight on the Beaches,1985
11187,Advanced Dungeons & Dragons Battlesystem,1985
329,Russian Front,1985
9357,East Wind Rain: The War in the Pacific 1941-1945,1985
26033,Maratón Clásico,1985
13771,Hellfire Pass,1985
8249,China Incident,1985
1570,Sirocco,1985
15238,International Cricket,1985
3095,Star Trek: The Adventure Game,1985
4413,Star Trek III,1985
9968,Custer's Luck,1985
2579,Arctic Front: Battle for Norway,1985
4561,Carrera de Mente,1985
9094,"MacArthur: The Road to Bataan, Dec 1941 - Jan 1942",1985
414,Around the World in 80 Days,1986
16719,Manhattan,1986
4862,Outburst!,1986
24037,Escape from Atlantis,1986
515,6-Tage Rennen,1986
9272,Jade König,1986
1398,Chicago,1986
4355,Therapy,1986
4427,Super Cluedo Challenge,1986
4555,Das Blaue Amulett,1986
3484,Armada,1986
